2026-04-21 23:26:08 | INFO    | src.gemini_client | Arquivo pronto: files/57l8pw3vplh7 (estado=ACTIVE)
2026-04-21 23:27:03 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-01425787.pdf (0.49 MB)
2026-04-21 23:27:07 | INFO    | src.gemini_client | Arquivo pronto: files/jllmvij38kui (estado=ACTIVE)
2026-04-21 23:27:54 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-01425787.pdf (0.38 MB)
2026-04-21 23:27:57 | INFO    | src.gemini_client | Arquivo pronto: files/o9jm9bv5pgl7 (estado=ACTIVE)
2026-04-21 23:28:46 | INFO    | src.csv_builder | CSV gerado: /app/CSV/01425787/01425787.csv (13 linhas)
2026-04-21 23:28:46 | INFO    | src.institution_processor | ==> Instituição 08561701 (13 arquivo(s))
2026-04-21 23:28:46 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-08561701.pdf (0.33 MB)
2026-04-21 23:28:49 | INFO    | src.gemini_client | Arquivo pronto: files/wfi08j6y7zpz (estado=ACTIVE)
2026-04-21 23:29:34 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-08561701.pdf (0.71 MB)
2026-04-21 23:29:37 | INFO    | src.gemini_client | Arquivo pronto: files/jlavvnk6x9d2 (estado=ACTIVE)
2026-04-21 23:30:37 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-08561701.pdf (2.79 MB)
2026-04-21 23:30:41 | INFO    | src.gemini_client | Arquivo pronto: files/2we5l0eav5pp (estado=ACTIVE)
2026-04-21 23:31:33 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-08561701.pdf (1.10 MB)
2026-04-21 23:31:37 | INFO    | src.gemini_client | Arquivo pronto: files/kazw2nx1ng4a (estado=ACTIVE)
2026-04-21 23:32:28 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-08561701.pdf (2.10 MB)
2026-04-21 23:32:31 | INFO    | src.gemini_client | Arquivo pronto: files/s7xpxg38jcrp (estado=ACTIVE)
2026-04-21 23:33:20 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-08561701.pdf (13.06 MB)
2026-04-21 23:33:33 | INFO    | src.gemini_client | Arquivo pronto: files/su71qj5ngj0l (estado=ACTIVE)
2026-04-21 23:34:25 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-08561701.pdf (12.88 MB)
