bloco,escopo,nivel,descricao,valor,cnpj,periodo
BP,CON,2.2.01,Obrigações por empréstimos,8903652000.0,01027058,2020-12-31
BP,IND,2.2.02,Outras obrigações,3244679000.0,01027058,2020-12-31
BP,CON,2.2.02,Outras obrigações,1923707000.0,01027058,2020-12-31
BP,IND,2.2.02.01,Provisões para contingências,1819580000.0,01027058,2020-12-31
BP,CON,2.2.02.01,Provisões para contingências,1838719000.0,01027058,2020-12-31
BP,IND,2.2.02.02,Impostos e contribuições diferidos,0.0,01027058,2020-12-31
BP,CON,2.2.02.02,Impostos e contribuições diferidos,34864000.0,01027058,2020-12-31
BP,IND,2.2.02.03,Provisão para obrigações com investidas,1390012000.0,01027058,2020-12-31
BP,CON,2.2.02.03,Provisão para obrigações com investidas,104000.0,01027058,2020-12-31
BP,IND,2.2.02.04,Outras,35087000.0,01027058,2020-12-31
BP,CON,2.2.02.04,Outras,50020000.0,01027058,2020-12-31
BP,IND,2.2.02.05,Obrigações com cotas de terceiros FIDC,0.0,01027058,2020-12-31
BP,CON,2.2.02.05,Obrigações com cotas de terceiros FIDC,0.0,01027058,2020-12-31
BP,IND,2.3.01,Acionistas controladores,9490854000.0,01027058,2020-12-31
BP,CON,2.3.01,Acionistas controladores,9490854000.0,01027058,2020-12-31
BP,IND,2.3.01.01,Capital social,5700000000.0,01027058,2020-12-31
BP,CON,2.3.01.01,Capital social,5700000000.0,01027058,2020-12-31
BP,IND,2.3.01.02,Reservas de capital,67529000.0,01027058,2020-12-31
BP,CON,2.3.01.02,Reservas de capital,67529000.0,01027058,2020-12-31
BP,IND,2.3.01.03,Reservas de lucros,4031907000.0,01027058,2020-12-31
BP,CON,2.3.01.03,Reservas de lucros,4031907000.0,01027058,2020-12-31
BP,IND,2.3.01.04,Outros resultados abrangentes,-223767000.0,01027058,2020-12-31
BP,CON,2.3.01.04,Outros resultados abrangentes,-223767000.0,01027058,2020-12-31
BP,IND,2.3.01.05,(-) Ações em tesouraria,-84815000.0,01027058,2020-12-31
BP,CON,2.3.01.05,(-) Ações em tesouraria,-84815000.0,01027058,2020-12-31
BP,IND,2.3.02,Outros acionistas que não a Cielo,0.0,01027058,2020-12-31
BP,CON,2.3.02,Outros acionistas que não a Cielo,3114858000.0,01027058,2020-12-31
DR,IND,1,Receita líquida,4675572000.0,01027058,2020-12-31
DR,CON,1,Receita líquida,11186013000.0,01027058,2020-12-31
DR,IND,2,Custo dos serviços prestados,-2820654000.0,01027058,2020-12-31
DR,CON,2,Custo dos serviços prestados,-8071148000.0,01027058,2020-12-31
DR,IND,3,Lucro Bruto,1854918000.0,01027058,2020-12-31
DR,CON,3,Lucro Bruto,3114865000.0,01027058,2020-12-31
DR,IND,4.1,Pessoal,-287011000.0,01027058,2020-12-31
DR,CON,4.1,Pessoal,-772533000.0,01027058,2020-12-31
DR,IND,4.2,Gerais e administrativas,-511125000.0,01027058,2020-12-31
DR,CON,4.2,Gerais e administrativas,-509658000.0,01027058,2020-12-31
DR,IND,4.3,Vendas e marketing,-129743000.0,01027058,2020-12-31
DR,CON,4.3,Vendas e marketing,-373416000.0,01027058,2020-12-31
DR,IND,4.4,Equivalência patrimonial,-11366000.0,01027058,2020-12-31
DR,CON,4.4,Equivalência patrimonial,-1882000.0,01027058,2020-12-31
DR,IND,4.5,"Outras despesas operacionais, líquidas",-359374000.0,01027058,2020-12-31
DR,CON,4.5,"Outras despesas operacionais, líquidas",-627889000.0,01027058,2020-12-31
DR,IND,5,Lucro operacional,556299000.0,01027058,2020-12-31
DR,CON,5,Lucro operacional,829487000.0,01027058,2020-12-31
DR,IND,6.1,Receitas financeiras,52816000.0,01027058,2020-12-31
DR,CON,6.1,Receitas financeiras,160639000.0,01027058,2020-12-31
DR,IND,6.2,Despesas financeiras,-336470000.0,01027058,2020-12-31
DR,CON,6.2,Despesas financeiras,-511907000.0,01027058,2020-12-31
DR,IND,6.4,Rendimento de cotas FIDCs e Antecipação de Recebíveis,424441000.0,01027058,2020-12-31
DR,CON,6.4,Rendimento de cotas FIDCs e Antecipação de Recebíveis,502672000.0,01027058,2020-12-31
DR,IND,6.4,"Ganho e (perda) de variação cambial, líquida",-29661000.0,01027058,2020-12-31
DR,CON,6.4,"Ganho e (perda) de variação cambial, líquida",-29918000.0,01027058,2020-12-31
DR,IND,7,Lucro operacional antes do imposto e renda e da contribuição social,667425000.0,01027058,2020-12-31
DR,CON,7,Lucro operacional antes do imposto e renda e da contribuição social,950973000.0,01027058,2020-12-31
DR,IND,8.1,Correntes,-203401000.0,01027058,2020-12-31
DR,CON,8.1,Correntes,-397686000.0,01027058,2020-12-31
DR,IND,8.2,Diferidos,26225000.0,01027058,2020-12-31
DR,CON,8.2,Diferidos,78226000.0,01027058,2020-12-31
DR,IND,9,Lucro líquido do período,490249000.0,01027058,2020-12-31
DR,CON,9,Lucro líquido do período,631513000.0,01027058,2020-12-31
DR,IND,11,Acionistas controladores,0.0,01027058,2020-12-31
DR,CON,11,Acionistas controladores,490249000.0,01027058,2020-12-31
DR,IND,12,Outros acionistas que não a Cielo,0.0,01027058,2020-12-31
DR,CON,12,Outros acionistas que não a Cielo,141264000.0,01027058,2020-12-31
DR,IND,13,Lucro líquido por ação (em R$) - Básico,180.91,01027058,2020-12-31
DR,CON,13,Lucro líquido por ação (em R$) - Básico,180.91,01027058,2020-12-31
DR,IND,14,Lucro líquido por ação (em R$) - Diluído,180.35000000000002,01027058,2020-12-31
